0.004682,14.696,1.06841,1.52973
0.0270994,147.05,1.07806,1.35675
0.0538116,279.403,1.08976,1.2056
0.0830864,411.757,1.10281,1.08234
0.114261,544.11,1.11697,0.982081
0.146968,676.464,1.13207,0.899674
0.18097,808.818,1.14804,0.831021
0.18097,941.171,1.1434816,0.831021
0.18097,1073.52,1.1389233,0.831021
0.18097,1205.88,1.1343647,0.831021
0.18097,1338.23,1.1298064,0.831021
0.18097,1470.59,1.1252478,0.831021
0.18097,1602.94,1.1206895,0.831021
0.18097,1735.29,1.1161312,0.831021
0.18097,1867.65,1.1115726,0.831021
0.18097,2000,1.1070143,0.831021
0.18097,2400,1.0932378,0.831021
0.18097,2800,1.0794613,0.831021
0.18097,3200,1.0656848,0.831021
0.18097,3600,1.0519083,0.831021
0.18097,4000,1.0381319,0.831021
