TIME              	DT                	WATINJ            	OILPROD           	WATPROD           	WC                  	WOR                 	CUMINJ            	CUMOPROD          	CUMWPROD          	PWBINJ            	PWBPROD           	MBEO                  	MBEW                
Days              	Days              	SCF/D             	SCF/D             	SCF/D             	dec.                	SCF/SCF             	MSCF              	MSCF              	MSCF              	psia              	psia              	dec.                  	dec.                
3                 	3                 	16787.654000000002	16576.835749924998	266.964250075001  	0.01584940750157334 	0.016104656769384284	50.36296200000001 	49.730507249774995	0.8008927502250031	2369.8606086560785	2192.8931820134594	-0.0007825317216174717	0.002925042699079908
4.643146354799779 	1.6431463547997789	16787.654000000002	16576.27701051028 	267.5229894897201 	0.015882579316408418	0.016138906783477115	77.94753447573993 	76.96775639574635 	1.2404721752301762	2406.454726503858 	2154.2856896377493	-0.001210825730930201 	0.00452702121959734 
6.771161221460175 	2.128014866660396 	16787.654000000002	16575.65323158666 	268.1467684133383 	0.01591961246353782 	0.0161771463644254  	113.6719117640908 	112.24099289717019	1.8110924848607024	2444.856086478723 	2113.868570043339 	-0.001765482140821705 	0.006601641938562078
9.403727431045645 	2.6325662095854714	16787.654000000002	16574.9850802986  	268.8149197013992 	0.015959279954725136	0.01621810930140255 	157.86652242270318	155.87573854394762	2.518765559099038 	2483.3869250250827	2073.8051883895664	-0.002451619693334046 	0.009168050500264171
12.689229179669981	3.285501748624336 	16787.654000000002	16574.259092731387	269.54090726861125	0.01600238112947264 	0.016262621801708045	213.02238899500352	210.33049577526938	3.40434268125585  	2522.053486730161 	2034.1527228566838	-0.003307897272732261 	0.012370845194921022
16.525894263610468	3.836665083940488 	16787.654000000002	16573.509570905637	270.290429094362  	0.01604687951022703 	0.01630858135013539 	277.4309949380774 	273.9175012643165 	4.4413565330854805	2558.7304918283644	1997.2653557661083	-0.0043077754982834855	0.01611075892753929 
20.38798096974397 	3.8620867061335047	16787.654000000002	16572.82481059627 	270.9751894037282 	0.016087533062831918	0.01635057345386727 	342.2663702786464 	337.92318764839985	5.487886209773628 	2589.621178969163 	1966.8105994560542	-0.0053142373008833324	0.01987529712465841 
24.28146988006875 	3.893488910324782 	16787.654000000002	16572.186490300148	271.6135096998512 	0.016125429517083508	0.016389720804724776	407.62891495801586	402.4468119682177 	6.545410397684392 	2616.152166476376 	1941.0719027024463	-0.006328843461977048 	0.023670297726693573
28.21356200953877 	3.9320921294700177	16787.654000000002	16571.582353211583	272.21764678841583	0.016161296547597088	0.016426774521967114	473.63951712368174	467.60780051214516	7.615795264123971 	2639.4507369753915	1918.9270190009647	-0.007353471902063661 	0.027502784864843113
32.19151376731158 	3.977951757772808 	16787.654000000002	16571.00394812798 	272.79605187202316	0.016195635894039533	0.01646225254220888 	540.4199948618634 	533.526454795661  	8.700964798181767 	2660.017227149276 	1899.6197192727993	-0.00839001430199445  	0.03137983409073154 
36.227349443859865	4.035835676548288 	16787.654000000002	16570.444569586463	273.35543041353486	0.01622884565320978 	0.016496565874596615	608.1722078006121 	600.402046165864  	9.804182396622924 	2678.4336788288388	1882.6044954816502	-0.009441604129932368 	0.03531316585578552 
40.33225337531149 	4.104903931451625 	16787.654000000002	16569.899240051836	273.9007599481628 	0.01626122133652518 	0.01653001964466417 	677.0839147050617 	668.41989070011   	10.928518702961725	2695.0631824113693	1867.493558772354 	-0.010511155384127748 	0.0393136794471759  
44.52103209057061 	4.188778715259117 	16787.654000000002	16569.363593460024	274.43640653997613	0.016293022152956943	0.0165628815489508  	747.4036824593964 	737.8252882457847 	12.078072081368575	2710.0140582055733	1853.9897273662411	-0.011602525330218926 	0.04339580243890773 
48.814838218258465	4.293806127687856 	16787.654000000002	16568.833277512313	274.9667224876866 	0.016324506494240408	0.016595418511506126	819.4866140740999 	808.9686461014055 	13.258725879296449	2723.6988440154664	1841.853254345129 	-0.012721223933931545 	0.04758014428096907 
53.23195758793335 	4.417119369674883 	16787.654000000002	16568.30490422546 	275.49509577454   	0.01635587550164096 	0.016627838355647337	893.6396857288998 	882.1528266165392 	14.475620603092608	2736.091054855835 	1830.909095492018 	-0.013872013592817091 	0.051884517853824835
57.80440736009701 	4.572449772163657 	16787.654000000002	16567.773955436347	276.02604456365157	0.016387397414102018	0.016660418310033724	970.4003904363623 	957.9081408643331 	15.737735827668912	2747.4207684746884	1820.9944501782863	-0.015063233241839431 	0.05634011384754142 
62.56279290411632 	4.7583855440193155	16787.654000000002	16567.23653602375 	276.56346397625225	0.01641930348117718 	0.016693397439874386	1050.28252054796  	1036.7414397016971	17.053731416657417	2757.9175141091378	1811.989704975622 	-0.01630285284854843  	0.060976742944903885
67.54111610215149 	4.978323198035173 	16787.654000000002	16566.688727957975	277.11127204202506	0.016451826312472547	0.016727016279020897	1133.8568878967483	1119.215770510718 	18.433280890701266	2767.3667817149667	1803.7987460184515	-0.01759972612311725  	0.06582752097771433 
72.7987100655161  	5.257593963364607 	16787.654000000002	16566.124250649413	277.6757493505844 	0.01648533878047617 	0.01676166043120793 	1222.1195562262021	1206.3137253672803	19.893187234259642	2776.1994767293336	1796.3171260226297	-0.018969303894471302 	0.0709502396452552  
78.38075678978757 	5.582046724271463 	16787.654000000002	16565.53873490756 	278.26126509243886	0.016520100279772906	0.01679759828794917 	1315.829025245105 	1298.783336598263 	21.446454617560526	2784.3793906144674	1789.4891146110142	-0.020423348645423643 	0.07638889497400522 
